sample_name,cluster_id,cluster_color,cluster_label,class_id,class_color,class_label,Gad2_log10_cpm,Slc17a7_log10_cpm,Lamp5_log10_cpm,Sncg_log10_cpm,Vip_log10_cpm,Sst_log10_cpm,Pvalb_log10_cpm
F2S4_170123_002_C01,63,#7AE6AB,L2/3 IT VISp Agmat,2,#27AAE1,Glutamatergic,0.201620268434574,2.52480062380607,3.34359166012279,0,0,0,0
F2S4_170124_001_A01,62,#A6E6A9,L2/3 IT VISp Adamts2,2,#27AAE1,Glutamatergic,0,2.44468418738215,2.93967677151638,0,0,0,0
F2S4_170124_001_B01,86,#C2E32C,L6 IT VISp Col23a1 Adamts2,2,#27AAE1,Glutamatergic,0,2.8127627511207,1.4946436322971,0,0,0,0
F2S4_170124_001_C01,71,#00FF00,L5 IT VISp Col6a1 Fezf2,2,#27AAE1,Glutamatergic,0,2.75033578191757,0.191456602909586,0,0,0,0
F2S4_170124_001_D01,63,#7AE6AB,L2/3 IT VISp Agmat,2,#27AAE1,Glutamatergic,0,2.69542030853237,2.98098132725123,0,0.327065343014478,0,0
F2S4_170124_001_E01,72,#26BF64,L5 IT VISp Col27a1,2,#27AAE1,Glutamatergic,0,2.81696690457989,0,0,0,0,0
F2S4_170124_001_F01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,2.84968663876696,0,0,0,0,0
F2S4_170124_001_G01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,2.88821817555798,0,0,0.505738114198611,0,0
F2S4_170124_001_H01,62,#A6E6A9,L2/3 IT VISp Adamts2,2,#27AAE1,Glutamatergic,0,2.82137812780557,2.96244501795072,0,0,0.190493284996599,0
F2S4_170124_002_A01,86,#C2E32C,L6 IT VISp Col23a1 Adamts2,2,#27AAE1,Glutamatergic,0,2.71876625012385,0,0,0,0,0
F2S4_170124_002_B01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,3.03499744396589,0,0,0.324189767392672,0,0
F2S4_170124_002_C01,87,#96E32C,L6 IT VISp Col18a1,2,#27AAE1,Glutamatergic,0,2.72426768399457,0.216611071304449,0,0,0,0
F2S4_170124_002_D01,86,#C2E32C,L6 IT VISp Col23a1 Adamts2,2,#27AAE1,Glutamatergic,0,2.89021815245086,0.205353146176781,0,0,0,0
F2S4_170124_002_F01,85,#7F9922,L6 IT VISp Penk Fst,2,#27AAE1,Glutamatergic,0,3.14959253921502,0,0,0,0,0
F2S4_170124_002_G01,63,#7AE6AB,L2/3 IT VISp Agmat,2,#27AAE1,Glutamatergic,0,2.78703342201019,3.22767322031854,0,0.528191323388582,0,0
